Subject,Block,WaitTime,Accuracy
16143,1,medium,1
16143,1,long,0.8571428571428571
16143,2,none,1
16143,2,short,1
16143,2,medium,1
16143,2,long,0.8571428571428571
16143,3,none,1
16143,3,short,1
16143,3,medium,1
16143,3,long,1
16146,1,none,1
16146,1,short,1
16146,1,medium,1
16146,1,long,1
16146,2,none,1
16146,2,short,1
16146,2,medium,1
16146,2,long,1
16146,3,none,1
16146,3,short,1
16146,3,medium,1
16146,3,long,0.8571428571428571
16147,1,none,1
16147,1,short,1
16147,1,medium,1
16147,1,long,1
16147,2,none,1
16147,2,short,1
16147,2,medium,0.8571428571428571
16147,2,long,1
16147,3,none,1
16147,3,short,1
16147,3,medium,0.8571428571428571
16147,3,long,0.7142857142857143
16149,1,none,1
16149,1,short,1
16149,1,medium,1
16149,1,long,1
16149,2,none,1
16149,2,short,0.7142857142857143
16149,2,medium,0.7142857142857143
16149,2,long,1
16149,3,none,0
16149,3,short,0.42857142857142855
16149,3,medium,0.42857142857142855
16149,3,long,0.8571428571428571
16150,1,none,1
16150,1,short,1
16150,1,medium,1
16150,1,long,1
16150,2,none,1
16150,2,short,1
16150,2,medium,0.7142857142857143
16150,2,long,0.7142857142857143
16150,3,none,1
16150,3,short,1
16150,3,medium,1
16150,3,long,0.7142857142857143
16151,1,none,1
16151,1,short,1
16151,1,medium,0.7142857142857143
16151,1,long,0.8571428571428571
16151,2,none,1
16151,2,short,1
16151,2,medium,0.8571428571428571
16151,2,long,0.7142857142857143
16151,3,none,1
16151,3,short,0.8571428571428571
16151,3,medium,0.8571428571428571
16151,3,long,1
16152,1,none,1
16152,1,short,1
16152,1,medium,1
16152,1,long,1
16152,2,none,1
16152,2,short,1
16152,2,medium,1
16152,2,long,1
16152,3,none,1
16152,3,short,1
16152,3,medium,1
16152,3,long,1
16153,1,none,1
16153,1,short,1
16153,1,medium,0.7142857142857143
16153,1,long,0.7142857142857143
16153,2,none,1
16153,2,short,1
16153,2,medium,0.8571428571428571
16153,2,long,0.8571428571428571
16153,3,none,1
16153,3,short,1
16153,3,medium,0.42857142857142855
16153,3,long,0.8571428571428571
16154,1,none,1
16154,1,short,1
16154,1,medium,1
16154,1,long,1
16154,2,none,1
